"borough","ClosureType","EditDate","GISpropNum","OMPpropID","Red.Sign.Installed","Status","accessibility","accessibilityLevel","location","name","longitude","latitude","rules","system","Approx.Date.Closed","Approx.Date.Reopened","Community.board","District","button","content"
"Manhattan","Completely Locked","06/22/2020 12:57:00 PM","M110","M110","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","W. 138 St., bet. Lenox Ave. and 5 Ave.","William McCray Playground",-73.9375556721078,40.8154853070246,"Adults Allowed","M110-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",110,"M-10","Playgrounds","W. 138 St., bet. Lenox Ave. and 5 Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Queens","Completely Locked","06/22/2020 02:22:02 PM","Q360J","Q360J","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Queens Midtown Exwy., 57 Ave. bet. 84 St. and 82 St.","Crowley Playground",-73.880118422406,40.7294545860854,"Unknown","Q360J-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 02:22:00 PM",404,"Q-04","Playgrounds","Queens Midtown Exwy., 57 Ave. bet. 84 St. and 82 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 04:20:06 PM","B288","B288","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","6 Ave. between 18 St. and 19 St.","Slope Park Playground",-73.9894032820785,40.6613421475245,"Adults Allowed","B288-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",307,"B-07","Playgrounds","6 Ave. between 18 St. and 19 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Bronx","Not Lockable","06/22/2020 10:09:56 AM","X010","X010-07","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Crotona E-Claremont, Charlotte","Carter Plgd (7)",-73.8944598214854,40.8369005059613,"Adults Allowed","X010-CPA-0006","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",203,"X-03","Playgrounds","Crotona E-Claremont, Charlotte, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/22/2020 01:02:41 PM","Q021","Q021-02","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","193 St & Aberdeen Rd","Redwood Playground",-73.7756195076202,40.7269097159004,"Unknown","Q021-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",408,"Q-08","Playgrounds","193 St & Aberdeen Rd, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 10:26:30 AM","X291","X291","true","Reopened","","","E. 181 St. bet. Walton Ave. and Jerome A","Walton Playground",-73.9051847722575,40.8553090571809,"","","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",205,"X-05","Playgrounds","E. 181 St. bet. Walton Ave. and Jerome A, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Brooklyn","Completely Locked","06/22/2020 01:07:45 PM","B153","B153","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Howard Ave. bet. Pacific St. and Dean St.","South Pacific Playground",-73.9201978144417,40.675657213474,"Adults Allowed","B153-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",316,"B-16","Playgrounds","Howard Ave. bet. Pacific St. and Dean St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 01:14:41 PM","M308","M308","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Chambers St. bet. Greenwich St. and West St.","Washington Market Park",-74.0110473153842,40.7170505587705,"Adults not allowed in some locations","M308-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",101,"M-01","Playgrounds","Chambers St. bet. Greenwich St. and West St., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 03:31:19 PM","M071","M071-38","","Reopened","true","Level 3: Accessible Playgrounds with Universally Accessible Swings","W 116-117 Sts, Riverside Dr","Tot Lot One Hundred And Sixteen",-73.9654908547967,40.809610731999,"Unknown","M071-CPA-0012","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",109,"M-14","Playgrounds","W 116-117 Sts, Riverside Dr, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 3: Accessible Playgrounds with Universally Accessible Swings"
"Brooklyn","Completely Locked","06/22/2020 01:33:06 PM","B342","B342","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Glenwood Rd. between E. 100 St. and E. 101 St.","100% Playground",-73.8993809117967,40.6468179107455,"Adults Allowed","B342-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",318,"B-18","Playgrounds","Glenwood Rd. between E. 100 St. and E. 101 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 01:55:05 PM","B106A","B106A","","Reopened","false","Not Applicable","W. 13 St., Stillwell Ave. bet. Ave. U and Ave. V","Scarangella Park",-73.984184662058,40.5939286874047,"Unknown","B106A-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",313,"B-13","Playgrounds","W. 13 St., Stillwell Ave. bet. Ave. U and Ave. V, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Completely Locked","06/21/2020 11:32:45 AM","Q317","Q317","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","64 Ave. bet. 218 St. and 219 St.","Tall Oak Playground",-73.758077886749,40.7462953069168,"Adults Allowed","Q317-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 11:32:42 AM",411,"Q-11","Playgrounds","64 Ave. bet. 218 St. and 219 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 04:11:41 PM","M257","M257","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","W. 22 St. and 10 Ave.","Clement Clarke Moore Park",-74.004218411802,40.7465263571397,"Adults not allowed in some locations","M257-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",104,"M-04","Playgrounds","W. 22 St. and 10 Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 01:03:07 PM","M058","M058-01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E 121st & Madison Ave","Mt. Morris East",-73.9432884462504,40.8032912229221,"Unknown","M058-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",111,"M-11","Playgrounds","E 121st & Madison Ave, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 04:16:36 PM","B007","B007-01","","UnderConstruction","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Bay Pkwy & Cropsey Avenue","Bensonhurst Park Playground",-73.9998255676953,40.5969539738644,"Unknown","B007-CPA-0001","03/31/2020 07:11:11 PM","",311,"B-11","Playgrounds","Bay Pkwy & Cropsey Avenue, Brooklyn, NY<br/><b>Status: </b>UnderConstruction<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/22/2020 06:25:37 PM","Q004","Q004-01","","UnderConstruction","false","Not Applicable","Shore Blvd Opp 23 Ave","Charybdis Playground",-73.9224388444354,40.7798169233796,"Adults Allowed","Q004-CPA-0001","03/31/2020 07:11:11 PM","",401,"Q-01","Playgrounds","Shore Blvd Opp 23 Ave, Queens, NY<br/><b>Status: </b>UnderConstruction<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/22/2020 12:35:27 PM","B107","B107","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Riverdale Ave. bet. Van Sinderen Ave. and Snediker Ave.","Lion's Pride Playground",-73.8995309714665,40.6627048891697,"Adults not allowed in some locations","B107-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",305,"B-05","Playgrounds","Riverdale Ave. bet. Van Sinderen Ave. and Snediker Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/24/2020 02:55:26 PM","B330","B330","","Reopened","false","Not Applicable","Veterans Ave. between E. 66 St. and E 68 St.","Hickman Playground",-73.9121042477264,40.6201906166226,"Adults Allowed","B330-CPA-0001","03/31/2020 07:11:11 PM","06/24/2020 12:00:00 AM",318,"B-18","Playgrounds","Veterans Ave. between E. 66 St. and E 68 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/24/2020 09:39:59 AM","B302","B302","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Ellery St. at Delmonico Pl., Hopkinds St. bet. Tompkins Ave. and Throop Ave.","Charlie's Place",-73.9465047471432,40.699216460895,"Adults Allowed","B302-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",303,"B-03","Playgrounds","Ellery St. at Delmonico Pl., Hopkinds St. bet. Tompkins Ave. and Throop Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 01:08:38 PM","M214","M214","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E. 102 St. To E. 104 St. and 2 Ave.","Blake Hobbs Playground",-73.9440858426321,40.7889068892483,"Adults Allowed","M214-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",111,"M-11","Playgrounds","E. 102 St. To E. 104 St. and 2 Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 03:25:52 PM","M071","M071-16","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","W 97 St & Riverside Dr","Dinosaur Plgd",-73.9750226840471,40.7969314566783,"Unknown","M071-CPA-0007","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",107,"M-14","Playgrounds","W 97 St & Riverside Dr, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 11:17:06 AM","M010","M010-167","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","84 St & Central Park West","Mariner's Gate Plgd",-73.9696490742052,40.7840602147605,"Unknown","M010-CPA-0010","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",164,"M-13","Playgrounds","84 St & Central Park West, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 04:20:06 PM","B210J","B210J","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","3 Ave. bet. 47 St. and 46 St.","Pena Herrera Playground",-74.012165426207,40.6493932946028,"Adults Allowed","B210J-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",307,"B-07","Playgrounds","3 Ave. bet. 47 St. and 46 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 01:55:05 PM","B106B","B106B","","Reopened","","","Stillwell Ave., Benson Ave., Bay 43 St.","Lafayette Playground",-73.9852898442002,40.5945088294056,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",313,"B-13","Playgrounds","Stillwell Ave., Benson Ave., Bay 43 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Brooklyn","Completely Locked","06/22/2020 03:11:27 PM","B167","B167","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp","La Guardia Playground",-73.9596208466132,40.7104394163595,"Adults Allowed","B167-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",301,"B-01","Playgrounds","S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/23/2020 09:23:48 AM","Q439","Q439","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","98 St. bet. Northern Blvd. and 32 Ave.","Private William Gray Playground",-73.8709275580053,40.7578770400855,"Adults Allowed","Q439-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 09:23:45 AM",403,"Q-03","Playgrounds","98 St. bet. Northern Blvd. and 32 Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Queens","Completely Locked","06/22/2020 10:23:18 AM","Q300","Q300-02","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","146 St & 56 Rd","Playground 146",-73.821206009112,40.7461642865261,"Unknown","Q300-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 10:23:14 AM",407,"Q-07","Playgrounds","146 St & 56 Rd, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 01:34:17 PM","B097","B097","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E. 95 St. bet. Ave. L and Ave. K","Sledge Playground",-73.897900188745,40.6382071795894,"Adults Allowed","B097-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",318,"B-18","Playgrounds","E. 95 St. bet. Ave. L and Ave. K, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 04:19:50 PM","B361","B361","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Warren St. to Baltic St. between Hoyt St. and Smith St.","Boerum Park",-73.9901899436957,40.6845287353325,"Adults Allowed","B361-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",306,"B-06","Playgrounds","Warren St. to Baltic St. between Hoyt St. and Smith St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/19/2020 10:06:13 AM","M144","M144-01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","E 11 St & East River Dr","East River Playground",-73.9726575805407,40.7242781368305,"Unknown","M144-CPA-0001","03/31/2020 07:11:11 PM","06/19/2020 12:00:00 AM",103,"M-03","Playgrounds","E 11 St & East River Dr, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/22/2020 06:27:29 PM","Q226","Q226-01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Vernon Blvd, Main Ave","Hallets Cove Playground (area A)",-73.9344476712496,40.7718203882363,"Adults Allowed","Q226-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",401,"Q-01","Playgrounds","Vernon Blvd, Main Ave, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/19/2020 12:56:58 PM","Q015","Q015-09","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Freedom Dr, Pk Lane S, 102 St","Giovanelli Playground",-73.8476120116963,40.6989135539808,"Unknown","Q015-CPA-0006","03/31/2020 07:11:11 PM","06/19/2020 01:00:00 PM",482,"Q-16","Playgrounds","Freedom Dr, Pk Lane S, 102 St, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 10:39:31 AM","X019","X019-01","","Reopened","","","","Ewen Playground",-73.9098620048604,40.883128371792,"","","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",208,"X-08","Playgrounds",", Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Queens","Not Lockable","06/21/2020 03:03:32 PM","Q220B","Q220B","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Van Wyck Exwy. Sr. Rd. E., 142 St., 106 Ave.","Norelli-Hargreaves Playground",-73.8090956576893,40.690615604448,"Adults Allowed","Q220B-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 03:03:28 PM",412,"Q-12","Playgrounds","Van Wyck Exwy. Sr. Rd. E., 142 St., 106 Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/23/2020 10:04:14 AM","B263","B263","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Throop Ave. between Myrtle Ave. and Park Ave.","Sumner Playground",-73.9430160474956,40.6971543103888,"Unknown","B263-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",303,"B-03","Playgrounds","Throop Ave. between Myrtle Ave. and Park Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 11:19:11 AM","X253","X253","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","City Island Ave bet. Centre St. and Winter St.","Ambrosini Field",-73.784790972757,40.8441921896917,"Adults not allowed in some locations","X253-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",210,"X-15","Playgrounds","City Island Ave bet. Centre St. and Winter St., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 10:44:01 AM","X104","X104-02","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","Reservoir Oval West & 208 St","Williamsbridge Oval",-73.8785384381376,40.8773300780343,"Adults not allowed in some locations","X104-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",207,"X-07","Playgrounds","Reservoir Oval West & 208 St, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Staten Island","Completely Locked","06/22/2020 01:46:45 PM","R036","R036","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Harbor Rd. at Richmond Terr.","Mariners Harbor Playground",-74.1604783612199,40.6366023924106,"Adults Allowed","R036-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",501,"R-01","Playgrounds","Harbor Rd. at Richmond Terr., Staten Island, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 11:00:28 AM","X221","X221","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","Lafayette Ave. bet. Bolton Ave. and Underhill Ave.","Space Time Playground",-73.8597983488252,40.8220408425883,"Adults Allowed","X221-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",209,"X-09","Playgrounds","Lafayette Ave. bet. Bolton Ave. and Underhill Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Brooklyn","Completely Locked","06/22/2020 01:55:05 PM","B169","B169","true","Reopened","","","","Beach at W 12 St",-73.9796989898286,40.5729943175701,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",313,"B-13","Playgrounds",", Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Bronx","Completely Locked","06/22/2020 10:38:24 AM","X080","X080-01","","Reopened","false","Not Applicable","Kappock St & Independence Ave","Paul's Playground",-73.9198757180295,40.8807402807414,"Adults not allowed in some locations","X080-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",208,"X-08","Playgrounds","Kappock St & Independence Ave, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Completely Locked","06/22/2020 03:29:41 PM","B372","B372","","Reopened","false","Not Applicable","Ave. L, E. 4 St., Mcdonald Ave., Ave. M","Friends Field",-73.9725888766732,40.618641831034,"Unknown","B372-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",312,"B-12","Playgrounds","Ave. L, E. 4 St., Mcdonald Ave., Ave. M, Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Completely Locked","06/22/2020 03:13:13 PM","Q471","Q471-02","","Reopened","","","","Hunter's Point South Playground (South)",-73.9602991316761,40.7401054443585,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",402,"Q-02","Playgrounds",", Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Bronx","Completely Locked","06/22/2020 10:58:24 AM","X118","X118-02","true","Reopened","","","","Soundview Playground",-73.8705388035345,40.8181917335198,"","","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",209,"X-09","Playgrounds",", Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Manhattan","Completely Locked","06/22/2020 01:09:52 PM","M230","M230","","Reopened","false","Not Applicable","E. 109 St. bet. 2 Ave. and 3 Ave.","Poor Richard's Playground",-73.9431292570711,40.7931254782518,"Adults Allowed","M230-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",111,"M-11","Playgrounds","E. 109 St. bet. 2 Ave. and 3 Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Bronx","Completely Locked","06/22/2020 09:42:22 AM","X034","X034-01","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","E 164 St & Jerome Ave","Mullaly Plgd (1)",-73.9254083713291,40.8313758528941,"Adults not allowed in some locations","X034-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",204,"X-04","Playgrounds","E 164 St & Jerome Ave, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Manhattan","Completely Locked","06/22/2020 11:49:53 AM","M037","M037-09","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Ft George, St Nicholas Aves","Ft George Plgd",-73.926240479141,40.8583876840758,"Adults not allowed in some locations","M037-CPA-0005","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",112,"M-12A","Playgrounds","Ft George, St Nicholas Aves, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 11:05:37 AM","X093","X093","","Reopened","","","","Van Nest Park",-73.8658416594931,40.8434822417596,"","","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",211,"X-11","Playgrounds",", Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Bronx","Completely Locked","06/22/2020 10:00:53 AM","X284","X284","","Reopened","false","Not Applicable","Hoe Av bet. Aldus St and Westchester Av","Printers Park",-73.89072966871,40.8233565508182,"Adults not allowed in some locations","X284-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",202,"X-02","Playgrounds","Hoe Av bet. Aldus St and Westchester Av, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Partially Locked","06/21/2020 04:56:36 PM","Q162J01","Q162J01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Seagirt Blvd bet. B. 12 St. and B. 9 St.","Beach 9 Playground",-73.7446000207849,40.5958123394067,"Adults Allowed","Q162J01-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 04:56:33 PM",414,"Q-14","Playgrounds","Seagirt Blvd bet. B. 12 St. and B. 9 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Completely Locked","06/22/2020 09:34:10 AM","X103","X103","","Reopened","false","Not Applicable","E. 141 St. bet. Brook Ave. and St Ann's Ave.","People's Park",-73.9171521403194,40.8096764940184,"Adults Allowed","X103-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",201,"X-01","Playgrounds","E. 141 St. bet. Brook Ave. and St Ann's Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Completely Locked","06/23/2020 12:29:08 PM","Q343","Q343","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","11 Ave., 12 Ave. bet. 152 St. and 154 St.","Whitestone Playground",-73.8080976600389,40.7918801181594,"Adults Allowed","Q343-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:29:06 PM",407,"Q-07","Playgrounds","11 Ave., 12 Ave. bet. 152 St. and 154 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
